"íçï∂ì˙éû","ìXï‹î‘çÜ","ÉXÉeÅ[É^ÉX","çXêVì˙éû","ìoò^ì˙éû","è§ïiî‘çÜ","äÛñ]êîó ","î[ïiêîó "
"2023-11-01 08:35:17","0000000000010","1","2023-11-01 08:35:17","2023-11-01 08:35:17","50-1","5","5"
"2023-11-01 08:35:17","0000000000010","1","2023-11-01 08:35:17","2023-11-01 08:35:17","49-1","15","15"
"2023-11-01 08:35:17","0000000000010","1","2023-11-01 08:35:17","2023-11-01 08:35:17","49-2","15","15"
"2023-11-01 08:35:17","0000000000010","1","2023-11-01 08:35:17","2023-11-01 08:35:17","58-2","0","4"
"2023-11-01 09:40:48","0000000000012","1","2023-11-01 09:40:48","2023-11-01 09:40:48","12","15","15"
"2023-11-01 09:40:48","0000000000012","1","2023-11-01 09:40:48","2023-11-01 09:40:48","49-2","15","15"
"2023-11-01 09:57:01","000000000054A","1","2023-11-01 09:57:01","2023-11-01 09:57:01","58-2","66","66"
"2023-11-01 10:18:36","0000000000031","1","2023-11-01 10:18:36","2023-11-01 10:18:36","58-2","11","11"
"2023-11-01 10:19:20","0000000000086","1","2023-11-01 10:19:20","2023-11-01 10:19:20","58-2","20","20"
"2023-11-01 10:25:00","0000000000006","1","2023-11-01 10:25:00","2023-11-01 10:25:00","58-2","3","3"
"2023-11-01 10:25:00","0000000000006","1","2023-11-01 10:25:00","2023-11-01 10:25:00","58-1","28","28"
"2023-11-01 10:25:24","000000000019B","1","2023-11-01 10:25:24","2023-11-01 10:25:24","58-2","6","6"
"2023-11-01 10:34:16","0000000000093","1","2023-11-01 10:34:16","2023-11-01 10:34:16","58-2","17","17"
"2023-11-01 10:35:06","0000000000027","1","2023-11-01 10:35:06","2023-11-01 10:35:06","58-2","3","3"
"2023-11-01 10:35:48","0000000000025","1","2023-11-01 10:35:48","2023-11-01 10:35:48","58-2","4","4"
"2023-11-01 10:46:56","0000000000020","1","2023-11-01 10:46:56","2023-11-01 10:46:56","58-2","7","7"
"2023-11-01 10:46:56","0000000000020","1","2023-11-01 10:46:56","2023-11-01 10:46:56","15","10","10"
"2023-11-01 10:46:56","0000000000020","1","2023-11-01 10:46:56","2023-11-01 10:46:56","16","10","10"
"2023-11-01 10:46:56","0000000000020","1","2023-11-01 10:46:56","2023-11-01 10:46:56","49-2","30","30"
"2023-11-01 10:51:49","0000000000036","1","2023-11-01 10:51:49","2023-11-01 10:51:49","40-3","4","4"
"2023-11-01 10:51:49","0000000000036","1","2023-11-01 10:51:49","2023-11-01 10:51:49","49-2","15","15"
"2023-11-01 10:51:49","0000000000036","1","2023-11-01 10:51:49","2023-11-01 10:51:49","58-2","0","4"
"2023-11-01 11:31:25","0000000000002","1","2023-11-01 11:31:25","2023-11-01 11:31:25","49-1","30","30"
"2023-11-01 11:31:25","0000000000002","1","2023-11-01 11:31:25","2023-11-01 11:31:25","5","10","10"
"2023-11-01 11:31:25","0000000000002","1","2023-11-01 11:31:25","2023-11-01 11:31:25","58-2","0","2"
"2023-11-01 11:53:53","0000000000035","1","2023-11-01 11:53:53","2023-11-01 11:53:53","49-1","15","15"
"2023-11-01 11:53:53","0000000000035","1","2023-11-01 11:53:53","2023-11-01 11:53:53","33-1","10","10"
"2023-11-01 11:53:53","0000000000035","1","2023-11-01 11:53:53","2023-11-01 11:53:53","14-1","10","10"
